ppg,timer
2672723,10:48:45.468
2675610,10:48:45.568
2669002,10:48:45.671
2666221,10:48:45.770
2667794,10:48:45.870
2669411,10:48:45.972
2671755,10:48:46.070
2675401,10:48:46.171
2674840,10:48:46.283
2668298,10:48:46.370
2667777,10:48:46.470
2669858,10:48:46.570
2671284,10:48:46.672
2673868,10:48:46.771
2677215,10:48:46.872
2671889,10:48:46.971
2667509,10:48:47.073
2668355,10:48:47.171
2669154,10:48:47.282
2670339,10:48:47.372
2673110,10:48:47.472
2674542,10:48:47.572
2666512,10:48:47.674
2663042,10:48:47.772
2663920,10:48:47.872
2664344,10:48:47.973
2666406,10:48:48.073
2669594,10:48:48.173
2667515,10:48:48.288
2660303,10:48:48.373
2659105,10:48:48.473
2660609,10:48:48.574
2661391,10:48:48.673
2663887,10:48:48.773
2667601,10:48:48.877
2661448,10:48:48.974
2657538,10:48:49.075
2658914,10:48:49.175
2659764,10:48:49.301
2661536,10:48:49.377
2664622,10:48:49.476
2665583,10:48:49.575
2658002,10:48:49.676
2656026,10:48:49.775
2657565,10:48:49.876
2658986,10:48:49.975
2661752,10:48:50.078
2665732,10:48:50.177
2664051,10:48:50.289
2658448,10:48:50.376
2658488,10:48:50.476
2660820,10:48:50.576
2662980,10:48:50.690
2666264,10:48:50.777
2670404,10:48:50.886
2666253,10:48:50.977
2664058,10:48:51.077
2665912,10:48:51.177
2667825,10:48:51.290
2670131,10:48:51.377
2673682,10:48:51.477
2674602,10:48:51.578
2668966,10:48:51.679
2668096,10:48:51.778
2670300,10:48:51.878
2671848,10:48:51.978
2674870,10:48:52.078
2678809,10:48:52.179
2675157,10:48:52.279
2671031,10:48:52.380
2671828,10:48:52.479
2673761,10:48:52.579
2675922,10:48:52.679
2679317,10:48:52.780
2681080,10:48:52.879
2675628,10:48:52.979
2674836,10:48:53.080
2677070,10:48:53.180
2678025,10:48:53.291
2680151,10:48:53.380
2683209,10:48:53.480
2677750,10:48:53.580
2673156,10:48:53.692
2673961,10:48:53.781
2674721,10:48:53.881
2676085,10:48:53.982
2678928,10:48:54.081
2677217,10:48:54.183
2670759,10:48:54.282
2669858,10:48:54.382
2670839,10:48:54.482
2672275,10:48:54.583
2675132,10:48:54.682
2677163,10:48:54.782
2671581,10:48:54.884
2669504,10:48:54.983
2671220,10:48:55.084
2672205,10:48:55.184
2674387,10:48:55.286
2677244,10:48:55.384
2673110,10:48:55.485
2668702,10:48:55.584
2669346,10:48:55.685
2670621,10:48:55.784
2672066,10:48:55.884
2675009,10:48:55.985
2675390,10:48:56.086
2669139,10:48:56.184
2667968,10:48:56.285
2669576,10:48:56.386
2671270,10:48:56.485
2673868,10:48:56.586
2677558,10:48:56.696
2674203,10:48:56.785
2671286,10:48:56.885
2672740,10:48:56.987
2674517,10:48:57.087
2676974,10:48:57.186
2680570,10:48:57.289
2682305,10:48:57.387
2676791,10:48:57.487
2675515,10:48:57.588
2677301,10:48:57.698
2678630,10:48:57.787
2681084,10:48:57.887
2684564,10:48:57.988
2685425,10:48:58.088
2679655,10:48:58.188
2678204,10:48:58.298
2679599,10:48:58.389
2680766,10:48:58.488
2683331,10:48:58.589
2686890,10:48:58.688
2687228,10:48:58.789
2682465,10:48:58.888
2682211,10:48:58.989
2683950,10:48:59.101
2685101,10:48:59.188
2687619,10:48:59.291
2691058,10:48:59.390
2688550,10:48:59.489
2683156,10:48:59.590
2682342,10:48:59.691
2683613,10:48:59.791
2684419,10:48:59.889
